hijacked,hijackedabbr,hijackedurl,althijackedurl,authentic,authenticabbr,authenticurl
ACADEMIE ROYALE DES SCIENCES D OUTRE-MER BULLETIN DES SEANCES,,http://ardsj.com/,,Bulletin des séances- Académie royale des sciences d’outre-mer,,http://www.kaowarsom.be/fr/bulletins
Acoreana Journal,Journal of Acoreana,http://chm.tomaspubs.com/,,Açoreana: revista de estudos açoreanos,,http://www.worldcat.org/oclc/183195915
Acta Bioethica,,http://actabioethica.org/,,Acta Bioethica,,http://www.actabioethica.uchile.cl/index.php/AB/index
ACTA CIRURGICA BRASILEIRA,,http://actacirurgica.org/index.php,,Acta cirúrgica Brasileira,,http://www.scielo.br/scielo.php?script=sci_serial&amp;pid=0102-8650&amp;lng=en&amp;nrm=i
Afinidad,,http://www.afinidad.org/,,Afinidad,,http://www.aiqs.es/catala/afinidad.asp
AGROCHIMICA,,http://www.agcjournal.org/,,Agrochimica,,http://www.pisauniversitypress.it/landing_page-le-riviste-agrochimica-1497.html
AIMS Report Journal,,http://aimsreport.org/,,AIMS report,,http://www.worldcat.org/oclc/220602820
The Journal of Albertiana,,http://www.albertiana.com/,,Albertiana,,http://paleo.cortland.edu/albertiana/
Amoeba Journal,,http://amoeba-journal.com/,,Amoeba: NJN-mededelingenblad,,http://www.worldcat.org/oclc/72979995
Anais da Academia Brasileira de Ciências,,http://www.aabc-scielo.com.br/,,Anais da Academia Brasileira de Ciências,,http://www.scielo.br/revistas/aabc/iaboutj.htm
Anare Research Notes,,http://arnjournal.com/,,ANARE Research Notes,,https://www1.data.antarctica.gov.au/aadc/pubs/pubs_list.cfm?pub_list=ARN
Journal Andamios,,http://andamios.org/,,"Andamios, Revista de Investigación Social",,http://www.redalyc.org/revista.oa?id=628
ANDRIAS JOURNAL,,https://scholarlyoa.com/other-pages/hijacked-journals/u,,Andrias,,http://aurarialibrary.worldcat.org/oclc/10342270
Archives des Sciences,,,,Archives des Sciences,,http://www.unige.ch/sphn/
Aula Orientalis,,http://editorialusa.com/,,Aula Orientalis,,http://www.editorialausa.com/cola12.asp
Ayer,,http://ayeronline.com/index.php/test,http://ayer.netne.net/,Ayer: Revista de Historia Contemporánea,,http://www.ahistcon.org/revistaayer.html
Baltica Journal,,http://balticajournal.com/,,Baltica,,http://www.geo.lt/geo/?id=710
BEITRAEGE ZUM NATURSCHUTZ IN DER SCHWEIZ,Switzerland Nature,http://naukpublication.org/index.php/BEITRAEGE_NATURSCHUTZ_SCHWEIZ/index,,Beiträge zum Naturschutz in der Schweiz,,http://aurarialibrary.worldcat.org/oclc/885256642
Blue Jay Journal,,http://canuorgme.org/index.php,,Blue jay,,http://www.worldcat.org/oclc/1536609
Bothalia Journal,,http://www.bthla-journal.org/,,Bothalia – African Biodiversity & Conservation,,http://www.abcjournal.org/
Bradleya,,http://www.britishedu.org.uk/,,Bradleya,,http://www.bcss.org.uk/brad.php
Buletin Teknologi Tanaman,,http://www.tektanaman.com/,http://www.e-penerbitan.org/index.php,Buletin Teknologi Tanaman,,http://www.worldcat.org/oclc/847900648
Bulletin of the Georgian National Academy of Sciences,,http://www.bnas.org/,,Bulletin of the Georgian National Academy of Sciences,,http://www.science.org.ge/moambe/moambe.html
Busqueret,,http://www.isfr.net/,,Es Busqueret,,http://www.gobmallorca.com/esbusqueret/
CADMO JOURNAL,,http://www.cadmo.org/index.php/CADMO,,CADMO,,http://www.francoangeli.it/riviste/sommario.asp?idRivista=117&amp;lingua=en
Cahiers des sciences naturelles,,http://revistas-academicas.com/cahiers/index.html,,Les cahiers des sciences naturelles,,http://www.worldcat.org/oclc/609916855
CAHIERS DE PAIOLIVE,,http://www.ijiq.com/new_002.htm,,Les Cahiers de Païolive,,http://www.worldcat.org/oclc/473132567
CEPAL Review,,http://www.cepalreview.org/,,CEPAL Review,,http://www.cepal.org/en/publications/type/cepal-review
Chemical and Process Engineering,,http://processengineering.net/,,Chemical and Process Engineering,,http://www.degruyter.com/view/j/cpe
Chemical Modelling Journal,,http://www.acoreanajr.com/,,Chemical Modelling: Applications and Theory,,http://www.rsc.org/shop/books/2010/9781847550750.asp
Ciência e técnica,,http://ciencia-e-tecnica.org/,,Ciência e técnica vitivinícola,,http://www.ctv-jve-journal.org/
Comptes rendus de l’Académie bulgare des Sciences,,http://www.science-bas.org/,,Comptes rendus de l’Académie bulgare des Sciences,,http://www.proceedings.bas.bg/
COMUNICACOES INSTITUTO DE INVESTIGACAO CIENTIFICA TROPICAL SERIE CIENCIAS BIOLOGICAS,,http://eartz.net/,,Comunicações. Série de ciéncias biológicas,,http://www.worldcat.org/oclc/25217860
Contributions in Science,,http://www.ijescs.org/,,Contributions in Science,,http://www.nhm.org/site/research-collections/research-tools/publications
Doriana,,http://revistas-academicas.com/doriana/index.html,,Doriana : supplemento agli Annali del Museo civico di storia naturale “G. Doria.”,,http://www.worldcat.org/oclc/859649543
DU Journal Published By Verlad Niggli AG,VNA,http://dujournal.eu.pn/,,Du,,http://www.du-magazin.com/
ECOLOGIE,,http://ecologyarticles.com/,,Ecologie,,http://www.worldcat.org/oclc/472845294
Education Journal,,http://tomaspubs.com/ej.htm,,Education,,http://www.worldcat.org/oclc/656939336
Electronics Information & Planning,,http://ccscomputeronline.com/,,Electronics information & planning,,http://www.worldcat.org/oclc/2381439
Emergencias,,http://sanidadediciones.com/,,Emergencias,,http://www.semes.org/revista_EMERGENCIAS/
Ephemera,,http://ephemera.eu.pn/,http://ephemerajournal.com/,Ephemera: revue d’éphéméroptérologie,,http://catalogue.bnf.fr/ark:/12148/cb37014280j/PUBLIC
Epistemologia,,http://epistemologia-journal.com//,,Epistemologia,,
EUROPE – REVUE LITTERAIRE MENSUELLE,,http://rrbitz.com/,,Europe : revue mensuelle,,http://www.worldcat.org/oclc/859685791
FABRERIES JOURNAL,,http://businessvia.com/#,,Fabreries,,http://worldcat.org/oclc/2442117
FAUNA ROSSII I SOPREDEL NYKH STRAN,,http://www.bpxo.com/index.php/FAUNARO,,Fauna Rossii i sopredelʹnykh stran,,http://worldcat.org/oclc/30329299
FOURRAGES,,http://agriturismosi.com/,,Fourrages,,http://www.afpf-asso.fr/index/action/page/id/29/title/la-revue---fourrages--
GAIA-ATHENS Journal,,http://gix.info/index.php/GAIA_ATHENS_Jo,,Gaia,,https://www.worldcat.org/title/gaia/oclc/45801714&amp;referer=brief_results
GAZI UNIVERTESI GAZI EGITIM FAKULTESI journal,,http://www.gugef.com/index.html,,Gazi University Journal of Gazi Educational Faculty,,http://www.gefad.gazi.edu.tr/EN
GMP Review,,http://www.euromed.uk.com/,,GMP Review,,http://www.industrialpharmacy.eu/publications/journals/197-gmp-review
Hermes Journal France,,http://www.newjuris.com/index.php/Hermes_journal/index,,Hermès,,http://documents.irevues.inist.fr/handle/2042/8538
Hospital Materials Management,,http://www.medmanagement.org/,,Hospital material$ management,,http://www.worldcat.org/oclc/233138486
HFSP JOURNAL,,http://www.hfsp-journal.org/,,HFSP journal: frontiers of interdisciplinary research in the life sciences,,http://www.ncbi.nlm.nih.gov/pmc/journals/811/
Iheringia Série Botânica,,http://iheringiaserie.bdssmgdl.org/index.php/ISB,,Iheringia. Série botânica,,http://www.fzb.rs.gov.br/conteudo/2135/?Iheringia_S%C3%A9rie_Bot%C3%A2nica/
Journal of Information System Management,,http://aoejournal.com/,,Information Systems Management,,http://www.tandfonline.com/toc/uism20/current
Interciencia Association,,http://www.ivic-gob.co.ve/,,Interciencia,,http://www.interciencia.org/
International Journal of Academic Research,IJAR,http://www.ijarsite.com/,,International Journal of Academic Research,,http://www.eu-print.org/orta.php?go=ijar
International Journal of Game Theory,,http://ijgt-springer.org/index.php,,International Journal of Game Theory,,http://www.springer.com/economics/economic+theory/journal/182
International Review of Social Psychology,,http://www.psychologyterms.com/,,La Revue internationale de psychologie sociale,,http://www.pug.fr/theme_et_tag/18/Revues/70/Revue%20internationale%20de%20psychologie%20sociale
JNCC REPORT,,http://jncc.info/ojs-2.4.6/index.php/jncc/about,,JNCC report series,,http://jncc.defra.gov.uk/page-2132
Journal of Engineering Technology,JoET,http://www.joetsite.com/,,Journal of Engineering Technology,JET,http://www.engtech.org/jet/
Journal of Information System[s] Management,,http://aoejournal.com/index.php?option=com_content&amp;view=featured&amp;Itemid=435,,Information Systems Management,,http://www.tandfonline.com/loi/uism20#.ViTgHyso1zQ
Journal of Psychology and Theology,,http://www.dinz.info/index.php,,Journal of Psychology & Theology,,http://journals.biola.edu/jpt
JOURNAL OF RENEWABLE NATURAL RESOURCES BHUTAN,,http://acjournal.in/journal-of-renewable-natural-resources-bhutan,,"Journal of renewable natural resources, Bhutan",,http://www.moaf.gov.bt/rnr-journal/
Journal of Technology,,http://www.jotechno.com/,,Journal of Technology,,http://jot.ntust.edu.tw/index.php/jot/index
Jokull Journal,,http://www.jokulljournal.com/,,Jökull,,http://jokulljournal.is/
JNSS: Journal Namibia Scientific Society,,http://jnss.zz.mu/,,Journal / Namibia Scientific Society,,http://www.worldcat.org/oclc/24516160
Jurnal akademik: Indonesia Academic Journal,,http://juak.besaba.com/,,Jurnal akademik,,http://www.worldcat.org/oclc/762041659
Kasmera Journal,Revista Kasmera,http://www.kasmerajournal.com/,,Kasmera,,http://www.scielo.org.ve/scielo.php?script=sci_serial&amp;pid=0075-5222
KUROSHIO,,http://www.ultimate-e-book.com/index.php/KUROSHIO_JOURNAL/index,,Kuroshio,,http://aurarialibrary.worldcat.org/oclc/28898096
LUDUS VITALIS,,http://ludusvitalis.org.mx/,,Ludus vitalis: revista de filosofía de las ciencias de la vida,,http://www.centrolombardo.edu.mx/ludus-vitalis/
MAGNT Research Report,,http://brisjast.com/,,MAGNT Research Report,,http://www.worldcat.org/oclc/223764115
Martinia,,http://www.martinia.com/,,Martinia: bulletin de liaison des Odonatologues de France,,http://www.worldcat.org/oclc/72735740
Meanjin,,http://meanjin.xp3.biz/,,Meanjin,,http://meanjin.com.au/
Mitteilungen Klosterneuburg,,http://mitt-klosterneuburg.com/,,Mitteilungen Klosterneuburg,,http://bundesamt.weinobstklosterneuburg.at/seiten/index.php/view.408/
MULTITEMAS,,http://multitemas.com/index.php/MTJournal,,Multitemas,,http://site.ucdb.br/editora-ucdb/tematica/37/periodicos/multitemas-numero-2-dez-1996/rmt/
Nationalpark Berchtesgaden Forschungsbericht,,http://www.nationalpark-berchtesgaden.com/index.php/NATIONALPARK-BERCHTESGADEN-FORSC/index,,Nationalpark Berchtesgaden: Forschungsberichte,,http://www.nationalpark-berchtesgaden.bayern.de/08_publikationen/01_forschungsberichte/index.htm
Nationalpark-Forschung in der Schweiz,,http://naukpublication.org/index.php/NATIONALPARK-FORSCHUNG-SCHWEIZ,,Nationalpark-Forschung in der Schweiz,,
The Naturalist Journal,,http://www.naturalistjournal.org/,,The Naturalist,,http://www.worldcat.org/oclc/4286535
Nautilus Journal,,http://nautilusjournal.net/default.html,,The Nautilus,,http://www.shellmuseum.org/nautilus/index.html
Natura,,http://revistas-academicas.com/natura/index.html,,Natura: orgaan der Nederlandsche Natuurhistorische Vereeniging,,http://www.worldcat.org/oclc/781580944
ODJELJENJA PRIRODNIKH NAUKA CRNOGORSKA AKADEMIJA NAUKA I UMJETNOSTI GLASNIK,,http://www.opncme.com/,,Odjeljenje prirodnih nauka,,https://scholarlyoa.com/other-pages/hijacked-journals/Odjeljenje%20prirodnih%20nauka
Odonatological Abstract Service,,http://www.styleinternational.net/,,Odonatological abstract service,,http://www.worldcat.org/oclc/314821112
OTECHESTVENNAYA ISTORIYA Journal,,http://ylau.com/OTECHESTVENNAYA%20ISTORIYA.html,,Российская история = Rossiĭskai︠a︡ istorii︠a︡,,http://www.worldcat.org/oclc/310811765
Pensee,,http://www.penseejournal.com/first.html,,La Pensée,,http://www.gabrielperi.fr/spip.php?page=rubrique_base&amp;id_rubrique=321&amp;lang=fr
PHILIPPINE SCIENTIST,,http://psc.tomaspubs.com/,,Philippine scientist,,http://www.worldcat.org/oclc/488081397
Ponte: International Scientific Researches Journal,,http://www.pontejournal.net/,,Il ponte: rivista mensile,,http://www.worldcat.org/oclc/829718688
PraeParator,,http://pra.tomaspubs.com/,,Der Präparator,,http://www.worldcat.org/oclc/5843414
PHYTON Annales Rei Botanicae,,http://www.engineeronline.net/,,Phyton: annales rei botanicae,,http://www.verlag-berger.at/en/e-books/phyton/
Recht & Psychiatrie,,http://kclcs.com/,,Recht & Psychiatrie,,https://www.psychiatrie-verlag.de/
Reef Resources Assessment and Management Technical Paper,,http://behaviorsciences.com/,,Reef resources assessment and management: technical paper,,http://www.worldcat.org/oclc/241475584
Research-Technology Management,Res Tech Manag,http://lriinc.org/,,Research-Technology Management,RTM,http://www.iriweb.org/Main/Library/RTM_Journal/Public_Site/Navigation/Publications/Research-Technology_Management/index.aspx
The Revista Brasileira de Medicina do Esporte,,http://revistabme.org/index.php,,Revista Brasileira de Medicina do Esporte,,http://rbme.org/
SALMAGUNDI,,http://www.jobn.org/,,Salmagundi: a quarterly of the humanities & social sciences,,https://www.skidmore.edu/salmagundi/
Revista Técnica de la Facultad de Ingeniería Universidad del Zulia,,http://www.tjfeonline.com/index.php,,Revista Técnica de la Facultad de Ingeniería. Universidad del Zulia,,http://produccioncientificaluz.org/index.php/tecnica
REVUE SCIENTIFIQUE ET TECHNIQUE-OFFICE INTERNATIONAL DES EPIZOOTIES,,http://rstoide.org/index.php/rstiode/index,,Revue scientifique et technique,,http://www.oie.int/fr/publications-et-documentation/revue-scientifique-et-technique-acces-libre/liste-des-numeros/
Saussurea,,http://saussurea.org/,,"Saussurea, journal de la Société botanique de Genève",,http://www.socbotge.ch/saussurea.htm
SCANDIA,,http://scandiajournal.com/,,Scandia: Tidskrift för historisk forskning,,http://www.tidskriftenscandia.se/
Scientia Guaianae,,http://www.scientiaguaianae.org/index.php/Scientia,,Scientia Guaianae : a series on natural sciences of the Guayana region,,http://www.worldcat.org/oclc/832526488
Scientific Khyber,,http://skhyber.org/,,Scientific khyber,,http://www.worldcat.org/oclc/25838220
Psycholjournal,,http://www.psycholjournal.co.nz/,,Social Behavior and Personality: an international journal,,http://www.sbp-journal.com/index.php/sbp/index
South African Journal of Business Managementalso here,,http://www.sajbm.com/,http://kiotones.com/index.php/research?id=21,South African Journal of Business Management,,http://reference.sabinet.co.za/sa_epublication/busman
Survey Methodology,,http://survmethodjournal.org/index.php,,Survey Methodology,,http://www5.statcan.gc.ca/olc-cel/olc.action?ObjId=12-001-X&amp;ObjType=2&amp;lang=en&amp;limit=0
Sylwan,English edition,http://sylwan.ibles.org/,,Sylwan,,http://sylwan.ibles.waw.pl/pls/apex/f?p=105:1:0
Systems science journal,,http://ss.tomaspubs.com/,,Systems science,,http://www.worldcat.org/oclc/2580682
TECH REV: Technology Review journal,,http://reviewtechnology.org/index.php,,MIT Technology Review,,http://www.technologyreview.com/
TERAPEVTICHESKII ARKHIV,,http://terapevticheskiiarkhiv.org/index.php/TERA/index/,,Terapevticheskiĭ arkhiv,,http://www.mediasphera.ru/journals/terapevt/
TEKSTIL JOURNAL CROATIA,,http://tekstiljournal.com/index.php/Tekstil_Journal_Crovatia04925882/index,,Tekstil,,http://tekstil.hist.hr/en/
Transactions of the Natural History Society of Northumbria,,http://nsdt.org/,,Transactions of the Natural History Society of Northumbria,,http://www.worldcat.org/oclc/61340106
Transylvanian Review,,http://transylvanianreview.org/index.php/Trr,,Transylvanian Review,,http://www.centruldestudiitransilvane.ro/Detaliu.aspx?t=prezentare
Veliger,,http://theveliger.info/,,The Veliger,,http://www.ucmp.berkeley.edu/people/barryr/veliger.html
VERIFICHE,,http://www.newjuris.com/index.php/VERIFICHE/index,,Verifiche: Rivista di scienze umane,,http://www.verificheonline.net/
VITAE-REVISTA DE LA FACULTAD DE QUIMICA FARMACEUTICA,,http://vitae-udea.org/,,"Vitae, la revista de la Facultad de Química Farmacéutica",,http://aprendeenlinea.udea.edu.co/revistas/index.php/vitae/ind
Walia Journal,,http://www.waliaj.com/,,"Walia, journal of the Ethiopian Wildlife and Natural History Society",,http://www.worldcat.org/oclc/183351204
WIWO Report,,http://web-journal.com/,,WIWO report,,http://www.wiwo.org/pane24.htm
Wulfenia,,http://www.multidisciplinarywulfenia.org/,http://www.multidisciplinarywulfenia.org/,Wulfenia,,http://www.landesmuseum.ktn.gv.at/210226w_DE.htm?seite=15
